"ИД";"Ссылка";"Картинка"
"1025";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4101e_kolbonagrevatel_100_ml/";"/images/imgulab/obshelab/135/UT-4101Es.jpg"
"1026";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4120e_kolbonagrevatel_250_ml/";"/images/imgulab/obshelab/135/UT-4120Es.jpg"
"1028";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4110e_kolbonagrevatel_1000_ml/";"/images/imgulab/obshelab/135/UT-4110Es.jpg"
"1030";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4103e_kolbonagrevatel_3000_ml/";"/images/imgulab/obshelab/135/UT-4103Es.jpg"
"1027";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4100e_kolbonagrevatel_500_ml/";"/images/imgulab/obshelab/135/UT-4100Es.jpg"
"15073";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut41003_kolbonagrevatel_trehmestnyj_500_ml/";"/images/imgulab/obshelab/135/ut-4100-3_s.jpg"
"1029";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4102e_kolbonagrevatel_2000_ml/";"/images/imgulab/obshelab/135/UT-4102Es.jpg"
"19842";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut41103_kolbonagrevatel_trehmestnyj_1000_ml_ulab/";"/images/imgulab/obshelab/135/ut-4100-3_s1.jpg"
"1066";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/plitki_nagrevatelnye/uh2840a_plita_nagrevatelnaya/";"/images/imgulab/obshelab/135/UH-2840As.jpg"
"1067";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/plitki_nagrevatelnye/uh3545a_plita_nagrevatelnaya/";"/images/imgulab/obshelab/135/UH-3545As.jpg"
"1068";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/plitki_nagrevatelnye/uh4060a_plita_nagrevatelnaya/";"/images/imgulab/obshelab/135/UH-4060As.jpg"
"1074";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/plitki_nagrevatelnye/uh0150a_plita_nagrevatelnaya/";"/images/imgulab/obshelab/135/UH-0150As.jpg"
"1075";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/plitki_nagrevatelnye/uh2125d_plita_nagrevatelnaya/";"/images/imgulab/obshelab/135/UH-2125Ds.jpg"
"1076";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/plitki_nagrevatelnye/uh4550_plita_nagrevatelnaya/";"/images/imgulab/obshelab/135/UH-4550s.jpg"
"1090";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/gomogenizatory/us4102_gomogenizator_ruchnoj/";"/images/imgulab/obshelab/135/US-4102s.jpg"
